,Text,Date,Likes,Reposts,Comments
0,,,,,
1,,15h,236.6K,10.4K,"2,964"
2,"Surprise…! Follow all your team updates with @LiveScore, download the app and don’t miss any action!

https://bit.ly/LiveScoreTW",28 May,33.9K,"2,738","1,968"
3,Recovery time with my boy,16 May,624.4K,29.1K,"8,910"
4,The winners are….,17 Jan,330.5K,19.8K,"6,352"
5,Good morning,11 Jan,516.3K,23.2K,10.1K
6,Enjoyed being the world's first mask-changing footballer warrior. Exclusive BTS and how it is made possible with advanced technology. @ZujuGP is giving away a shirt I signed to a subscriber. Sign up at http://Zujugp.com to watch the full video and know how to participate!,2 Jan,45.3K,"3,043","2,275"
7,"Muitos parabéns à melhor mãe do Mundo, uma guerreira que sempre me ensinou a não desistir, a melhor avó que os meus filhos alguma vez poderiam sonhar ter… Amo-te muito, minha mãe! Beijo!",31 Dec 2021,219K,"9,100","3,300"
8,Best way to end the year! Great victory &   #MUFC,30 Dec 2021,223.3K,16.9K,"3,972"
9,I’m very happy to support the prestigious @uni_ecampus and to have been able to donate scholarships to young people who otherwise wouldn’t have been able to study. I wish all the Università eCampus students the best for the year ahead and in building a successful future. #eCampus,29 Dec 2021,97.2K,"5,555","2,413"
10,"De coração cheio, desejo a todos um Feliz Natal!  #blessed",24 Dec 2021,356.6K,23.8K,"5,351"
11,"O mesmo orgulho de sempre na hora de representar o meu país e de marcar com as nossas cores. Mais um teste, mais um ensaio, seguimos juntos na ambição, no sonho e no rumo inamovível que traçámos: marcar presença no histórico Mundial do Catar em 2022!",10 Oct 2021,139.3K,"9,702","2,080"
12,"Proud to be elected Player Of The Month among so many great players in the Premier League. Thanks to all my teammates at Man. United, couldn’t have done it without them. Let’s keep working hard and the results will come!",8 Oct 2021,260.1K,27.2K,"4,996"
13,De volta a casa,5 Oct 2021,259.2K,13.1K,"4,735"
14,"Being confident is part of success.
Choose your path and own it with CR7 Game On!
#CR7GAMEON",1 Oct 2021,171.1K,"9,563","2,884"
15,"Add some irreverence to your Autumn outfits with the irresistible CR7 Eyewear! 
#CR7EYEWEAR",1 Oct 2021,215.2K,11.8K,"3,224"
16,"Together we’re stronger!
Thank you all for your support! ALWAYS  #mufc",20 Sep 2021,353.2K,24.8K,"9,541"
17,"Wasn't the result we wanted, but now it’s time to recover well and focus on the next game! #mufc",14 Sep 2021,279.9K,19.9K,"5,249"
18,"My body is my weapon. It’s the most important thing to me. In football, we are always told to eat well and train
well to have a longer professional career, but to me, recovery is a key ingredient. That's why I choose the best in recovery – @Therabody",2 Jun 2021,90.5K,"6,680","1,756"
19,Non potrei essere più felice di vincere un altro titolo al servizio di questo grande club! Fino Alla Fine! Forza Juve!,20 May 2021,201.4K,15.6K,"3,975"
20,Excited to have signed for @livescore,17 May 2021,88.1K,"6,757","3,741"
21,FINO ALLA FINE,15 May 2021,199.3K,11.1K,"4,216"
22,"Sai perché l’Università eCampus è la tua scelta perfetta? 
Perché è online da sempre, con lezioni ed esami a distanza e, se vuoi, anche un tutor personale che ti accompagna passo dopo passo come un vero allenatore. 
Ti aspetto! 
@uni_ecampus",13 May 2021,34.5K,"2,281","3,252"
23,Don’t stop here!,13 May 2021,293.9K,23.7K,"5,067"
24,#lovelymoments,6 May 2021,343.2K,13K,"5,441"
25,"Very happy with my 4th title in Italy... We are back! This is the Juve we love, this is the team we trust and this is the spirit that will lead to the wins we want! Well done, guys! Fino Alla Fine!",20 Jan 2021,317.3K,32.2K,"5,764"
26,Altri 3 punti importantissimi! Felice di aver dato il mio contributo!,10 Jan 2021,161.8K,"8,738","2,803"
27,Complimenti ragazzi per un’altra importante vittoria! Avanti così #finoallafine #ForzaJuve,7 Jan 2021,145.5K,"6,789","1,753"
28,"Grandi ragazzi!
Abbiamo iniziato il 2021 nel migliore dei modi!  #finoallafine",3 Jan 2021,179.2K,10.8K,"2,215"
29,"A New Year for new beginnings and goals.
Let’s work hard together to tone our bodies with SIXPAD for 2021.
@SixpadHomeGym #SIXPADHOMEGYM
#SIXPAD http://bit.ly/3apgwVY",2 Jan 2021,45.1K,"2,490","1,120"
30,"2020 was not an easy year, there’s no doubt about it. No one can be indifferent to the pain and suffering that COVID-19 brought upon the world.
But now it’s time to bounce back and show that, together, we can make a difference.
Happy New Year!",31 Dec 2020,149.8K,10.2K,"2,319"
